Player,Team,Position,Receptions,Receiving Yards,Receiving TDs,Re Yard/Avg,Re Yard/Game
Chuba Hubbard,CAR,RB,39,233,0,6.0,13.7
Tanner Hudson,CIN,TE,39,352,1,9.0,29.3
Trey Palmer,TAM,WR,39,385,3,9.9,22.6
Khalil Shakir,BUF,WR,39,611,2,15.7,35.9
D'Andre Swift,PHI,RB,39,214,1,5.5,13.4
Michael Thomas,NOR,WR,39,448,1,11.5,44.8
Dontayvion Wicks,GNB,WR,39,581,4,14.9,38.7
Quentin Johnston,LAC,WR,38,431,2,11.3,25.4
Josh Palmer,LAC,WR,38,581,2,15.3,58.1
Rhamondre Stevenson,NWE,RB,38,238,0,6.3,19.8
Michael Wilson,ARI,WR,38,565,3,14.9,43.5
Kendrick Bourne,NWE,WR,37,406,4,11.0,50.8
Josh Jacobs,LVR,RB,37,296,0,8.0,22.8
Juwan Johnson,NOR,TE,37,368,4,9.9,28.3
Brian Robinson Jr.,WAS,RB,36,368,4,10.2,24.5
Nelson Agholor,BAL,WR,35,381,4,10.9,22.4
Odell Beckham Jr.,BAL,WR,35,565,3,16.1,40.4
DJ Chark,CAR,WR,35,525,5,15.0,35.0
Kalif Raymond,DET,WR,35,489,1,14.0,28.8
Durham Smythe,MIA,TE,35,366,0,10.5,22.9
Michael Gallup,DAL,WR,34,418,2,12.3,24.6
Roschon Johnson,CHI,RB,34,209,0,6.1,13.9
Zay Jones,JAX,WR,34,321,2,9.4,35.7
Luke Musgrave,GNB,TE,34,352,1,10.4,32.0
Allen Robinson,PIT,WR,34,280,0,8.2,16.5
Noah Brown,HOU,WR,33,567,2,17.2,56.7
Zach Charbonnet,SEA,RB,33,209,0,6.3,13.1
Taysom Hill,NOR,QB,33,291,2,8.8,18.2
DeVante Parker,NWE,WR,33,394,0,11.9,30.3
Rashod Bateman,BAL,WR,32,367,1,11.5,22.9
Noah Fant,SEA,TE,32,414,0,12.9,24.4
Pat Freiermuth,PIT,TE,32,308,2,9.6,25.7
Alec Pierce,IND,WR,32,514,2,16.1,30.2
Kyren Williams,LAR,RB,32,206,3,6.4,17.2
Tucker Kraft,GNB,TE,31,355,2,11.5,20.9
Jaleel McLaughlin,DEN,RB,31,160,2,5.2,9.4
Darnell Mooney,CHI,WR,31,414,1,13.4,27.6
Kenneth Gainwell,PHI,RB,30,183,0,6.1,11.4
Kylen Granson,IND,TE,30,368,1,12.3,24.5
Aaron Jones,GNB,RB,30,233,1,7.8,21.2
Isaiah Likely,BAL,TE,30,411,5,13.7,24.2
Alexander Mattison,MIN,RB,30,192,3,6.4,12.0
Devin Singletary,HOU,RB,30,193,0,6.4,11.4
Mike Gesicki,NWE,TE,29,244,2,8.4,14.4
Najee Harris,PIT,RB,29,170,0,5.9,10.0
Brandon Powell,MIN,WR,29,324,1,11.2,19.1
JuJu Smith-Schuster,NWE,WR,29,260,1,9.0,23.6
Kenneth Walker III,SEA,RB,29,259,1,8.9,17.3
Noah Gray,KAN,TE,28,305,2,10.9,17.9
Derrick Henry,TEN,RB,28,214,0,7.6,12.6
Justice Hill,BAL,RB,28,206,1,7.4,12.9
Christian Watson,GNB,WR,28,422,5,15.1,46.9
Nick Westbrook-Ikhine,TEN,WR,28,370,3,13.2,26.4
De'Von Achane,MIA,RB,27,197,3,7.3,17.9
Braxton Berrios,MIA,WR,27,238,1,8.8,14.9
James Conner,ARI,RB,27,165,2,6.1,12.7
Zach Ertz,ARI,TE,27,187,1,6.9,26.7
